ResponseID,StartDate,EndDate,Finished,totalduration,laybeliefs1,laybeliefs2,rtlaybeliefs1,laybeliefs3,laybeliefs4,rtlaybeliefs2,laybeliefs5,laybeliefs6,rtlaybeliefs3,laybeliefs7,laybeliefs8,rtlaybeliefs4,personalitylay1,personalitylay2,personalitylay3,policy1,rtpolicy1,policy2,rtpolicy2,policy3,rtpolicy3,policy4,rtpolicy4,openended,reader,reader1,reader2,english,gender,genderspecify,age,politicalavg,political1,political2,political3,white,black,latin,native,eastasia,southeast,southasia,middleeast,otherrace,racespecify,workstatus,edu,class,country,countryspecify,citizen,citizenspecify,born,bornspecify,HITsubmitted,HITsubmittedyes,demomerge,persavg,incavg,inccen,layavg,laycen,laycenXinccen,dvavg,gibberish,supportavg,entavg,entcen,entcenXlaycen,eplus1sd,eminus1sd,eplus1sdXlaycen,eminus1sdXlaycen,lay_beliefs,mindset_about_personality,layavgXentavg
R_1N2k0RGyahzIgVe,1/12/2021 20:19:30,1/12/2021 20:22:12,1,161,5,5,9.977,4,5,7.259,3,4,6.763,4,5,5.237,5,6,5,1,29.557,1,8.425,1,17.48,1,9.707,The main points were about facial recognition software and possible uses of it.,1,none,none,1,2, ,33,4.333333492,4,4,5,1, , , , , , , , , ,3,3,2,1, ,1, ,1, ,1,matched (3),matched (3),5.333333492,1.666666508,-2.052287817,4.375,1.606617689,-3.297241926,1,0,1,5.333333492,2.052287817,3.297241926,3.389511347,0.715064347,5.44564867,1.148835063,4.375,5.333333492,23.33333397
R_2yq2IGWueJoGG2o,1/12/2021 20:13:51,1/12/2021 20:17:25,1,213,2,2,17.031,2,2,5.418,2,2,6.416,2,2,4.292,3,2,2,1,28.9,1,8.133,1,15.076,1,8.305,"using facial recognition to profile people's character, intelligence and trustworthiness.",1,none,none,1,2, , ,4.666666508,5,5,4,1, , , , , , , , , ,3,5,3,1, ,1, ,1, ,1,matched (3),matched (3),2.333333254,4.666666985,0.947712719,2,-0.76838237,-0.72820574,1,0,1,2.333333254,-0.947712481,0.728205562,0.389510989,-2.284935951,-0.299293369,1.755704522,2,2.333333254,4.666666508
R_a8DmqctBWWcd9WF,1/12/2021 20:38:15,1/12/2021 20:47:08,1,533,2,1,15.878,2,1,9.818,2,2,10.742,2,1,8.427,1,1,1,1,174.593,1,25.587,1,18.961,1,9.66,That facial profiling can help om several different ways to tell if a person is good or bad at something and whether or not they might be trouble.,1,none,none,1,2, ,48,6.666666508,7,6,7,1, , , , , , , , , ,3,2,1,1, ,1, ,1, ,1,matched (3),matched (3),1,6,2.281045675,1.625,-1.143382311,-2.608107328,1,0,1,1,-2.281045675,2.608107328,-0.943822205,-3.618269205,1.079149604,4.137064934,1.625,1,1.625
R_1Ej3UdNAf6QXPIl,1/12/2021 20:16:00,1/12/2021 20:20:00,1,239,4,3,6.701,2,2,7.832,3,5,13.12,3,4,23.217,2,1,1,2,14.96,3,10.587,1,5.955,3,12.568,Different organizations are using software that can predict someone's potential with just a photograph,1,none,none,1,1, ,34,2,2,2,2,1, , , , , , , , , ,3,5,3,1, ,1, ,1, ,1,matched (3),matched (3),1.333333373,5.666666508,1.947712302,3.25,0.481617659,0.938052654,2.25,0,2.25,1.333333373,-1.947712421,-0.938052714,-0.610488951,-3.284935951,-0.294022262,-1.582083106,3.25,1.333333373,4.333333492
R_1QcF9HmWxiP4iAz,1/12/2021 20:51:13,1/12/2021 20:54:11,1,177,1,1,11.303,1,1,5.259,1,1,6.771,1,1,6.594,3,4,3,1,10.698,2,40.723,1,11.396,1,4.824,opinion of facial recognition,1,none,none,1,1, ,34,3,3,3,3, , ,1, , , , , , , ,7,3,3,1, ,1, ,1, ,1,matched (3),matched (3),3.333333254,3.666666746,-0.052287512,1,-1.768382311,0.092464313,1.25,0,1.25,3.333333254,0.052287508,-0.092464305,1.389510989,-1.284935951,-2.457186699,2.272258043,1,3.333333254,3.333333254
R_A5369eQ3a55C8jT,1/12/2021 17:24:45,1/12/2021 17:27:26,1,160,6,6,7.326,5,5,5.091,4,5,5.215,4,5,5.52,5,4,5,6,7.005,5,6.173,4,4.974,5,5.465,It contains the factors like analyzing people by their appearances,1,none,none,1,2, ,36,3,2,5,2,1, , , , , , , , , ,3,5,3,1, ,1, ,1, ,1,matched (3),matched (3),4.666666508,2.333333492,-1.385620713,5,2.231617689,-3.092175722,5,0,5,4.666666508,1.385620713,3.092175722,2.722844124,0.048397254,6.076346874,0.108004168,5,4.666666508,23.33333206
R_0cFjtLhd3wMyet3,1/12/2021 21:01:33,1/12/2021 21:04:22,1,168,3,3,13.141,3,3,6.159,3,3,8.641,3,3,4.481,3,3,3,1,15.884,1,6.706,1,10.402,1,5.707,"The main point of all the projects was to infer something about what kind of person someone is just by their appearance, and whether companies and organizations should be able to profile people in this way.",1,none,none,1,1, ,41,3,3,3,3,1, , , , , , , , , ,7,5,3,1, ,1, ,1, ,1,matched (3),matched (3),3,4,0.281045735,3,0.231617644,0.065095149,1,0,1,3,-0.281045735,-0.065095149,1.056177735,-1.618269205,0.244629398,-0.374819696,3,3,9
R_11gMUrKe0SpOQwN,1/12/2021 21:42:41,1/12/2021 21:45:53,1,192,3,3,9.612,2,2,4.907,2,2,4.295,2,1,6.489,2,2,2,1,16.98,1,11.274,1,15.235,1,5.533,"I answered whether or not I agreed with various institutions using facial recognition software to determine peoples possible criminality, credit scores, and likelihood for bravery.",1,none,none,1,1, ,35,1,1,1,1,1, , , , , , , , , ,3,5,1,1, ,1, ,1, ,1,matched (3),matched (3),2,5,1.281045794,2.125,-0.64338237,-0.824202299,1,0,1,2,-1.281045794,0.824202299,0.056177665,-2.618269205,-0.03614372,1.684548259,2.125,2,4.25
R_2WA4Glziu8f6SBR,1/12/2021 18:41:16,1/12/2021 18:43:59,1,163,5,4,9.549,4,4,8.724,4,3,12.206,4,4,9.304,3,3,3,1,23.982,3,9.498,1,6.408,1,5.012,That facial software can determine the outcome a person is likely to take given their looks.,1,none,none,1,2, ,55,5,5,5,5,1, , , , , , , , , ,3,4,2,1, ,1, ,1, ,1,matched (3),matched (3),3,4,0.281045735,4,1.231617689,0.346140891,1.5,0,1.5,3,-0.281045735,-0.346140891,1.056177735,-1.618269205,1.300807238,-1.993088961,4,3,12
R_22VtXgu9eFu8cwl,1/12/2021 21:50:07,1/12/2021 21:57:34,1,446,3,1,10.846,1,1,7.315,1,1,10.712,1,1,17.405,1,1,1,1,45.85,1,32.26,1,23.219,1,12.502,"There is new facial recognition software to help the army, banks, cops, etc. in finding criminals, good loans applicants, etc. How much do I agree with this new app.",1,none,none,1,1, ,39,1.333333373,2,1,1,1, , , , , , , , , ,8,3,1,1, ,1, ,1, ,1,matched (3),matched (3),1,6,2.281045675,1.25,-1.518382311,-3.463499308,1,0,1,1,-2.281045675,3.463499308,-0.943822205,-3.618269205,1.433082938,5.493916035,1.25,1,1.25
R_8ud3FCD8vqjGrM5,1/12/2021 20:05:21,1/12/2021 20:10:56,1,335,3,3,17.036,3,3,9.952,2,3,12.653,3,3,8.996,2,2,2,1,41.906,1,18.767,1,28.448,1,36.67,Whether I believe facial recognition software should be used in various areas to categorize people.,1,none,none,1,1, ,49,6,6,6,6,1, , , , , , , , , ,3,5,3,1, ,1, ,1, ,1,matched (3),matched (3),2,5,1.281045794,2.875,0.106617644,0.136582091,1,0,1,2,-1.281045794,-0.136582091,0.056177665,-2.618269205,0.00598953,-0.279153705,2.875,2,5.75
R_3qm9QtdNIaYoIL2,1/12/2021 20:33:12,1/12/2021 20:38:18,1,305,1,1,32.542,1,1,3.763,1,1,4.798,1,1,3.801,2,2,2,1,24.549,1,12.88,1,9.257,1,5.702,Facial profiling can allegedly reveal facets of a persons personality.,1,none,none,1,2, ,32,3,3,3,3,1, , , , , , , , , ,4,5,1,1, ,1, ,1, ,1,matched (3),matched (3),2,5,1.281045794,1,-1.768382311,-2.265378714,1,0,1,2,-1.281045794,2.265378714,0.056177665,-2.618269205,-0.09934359,4.630100727,1,2,2
R_28RKTSpkTE03PQD,1/12/2021 20:55:31,1/12/2021 20:58:17,1,165,2,3,6.648,2,2,8.247,2,2,8.705,3,2,6.699,2,2,2,1,32.508,2,11.226,1,11.405,1,10.808,I answered questions about the use of facial recognition technology in various domains.,1,none,none,1,2, ,36,3,3,3,3,1, , , , , , , , , ,3,6,3,1, ,1, ,1, ,1,matched (3),matched (3),2,5,1.281045794,2.25,-0.51838237,-0.66407156,1.25,0,1.25,2,-1.281045794,0.66407156,0.056177665,-2.618269205,-0.029121511,1.357264638,2.25,2,4.5
R_R3lBQwFd62lIs9z,1/12/2021 21:54:01,1/12/2021 21:57:53,1,231,3,3,12.986,3,3,8.036,1,1,13.038,2,2,8.463,2,3,2,1,39.266,1,13.289,1,26.214,1,13.497,These technologies use facial recognition profiling.,1,none,none,1,1, ,30,5,5,5,5, , , , , ,1, , , , ,3,5,2,1, ,1, ,1, ,1,matched (3),matched (3),2.333333254,4.666666985,0.947712719,2.25,-0.51838237,-0.491277575,1,0,1,2.333333254,-0.947712481,0.491277456,0.389510989,-2.284935951,-0.201915637,1.184470534,2.25,2.333333254,5.25
R_2VBWN7E7L9u1tEn,1/12/2021 19:26:19,1/12/2021 19:29:50,1,210,5,5,7.526,3,3,10.101,3,3,6.912,3,3,4.242,5,4,4,1,29.381,2,9.39,2,9.532,3,6.295,the facial app is very useful and can be used in many different areas,1,none,none,3,1, ,32,3.666666746,4,4,3, , , , ,1, , , , , ,4,2,1,1, ,1, ,0,china,1,matched (3),matched (3),4.333333492,2.666666508,-1.052287698,3.5,0.73161763,-0.769872248,2,0,2,4.333333492,1.052287698,0.769872248,2.389511108,-0.284935772,1.748208404,-0.208464041,3.5,4.333333492,15.16666698
R_2v6MjTNx7EUXXYh,1/12/2021 20:57:42,1/12/2021 21:00:26,1,164,4,4,9.23,5,5,4.652,3,4,9.083,4,4,5.063,3,3,3,1,13.887,1,8.193,1,14.627,1,7.273,"Through a variety of uses, facial recognition technology can profile humans and determine a risk assessment path for the person and assign them a favorable or unfavorable outcome.",1,none,none,1,2, ,33,2,2,2,2,1, , , , , , , , , ,3,5,2,1, ,1, ,1, ,1,matched (3),matched (3),3,4,0.281045735,4.125,1.356617689,0.381271601,1,0,1,3,-0.281045735,-0.381271601,1.056177735,-1.618269205,1.43282938,-2.195372581,4.125,3,12.375
R_32LnVjhlQcc42Bp,1/12/2021 20:46:03,1/12/2021 20:51:27,1,324,1,2,13.17,1,1,8.294,1,1,7.234,3,1,9.375,4,4,4,1,45.68,2,14.522,1,26.762,2,16.974,How using a facial recognition software will be used in different business and government ventures. And if I support them of not.,1,none,none,1,2, ,25,4,4,4,4,1, , , , , , , , , ,3,4,2,1, ,1, ,1, ,1,matched (3),matched (3),4,3,-0.718954265,1.375,-1.393382311,1.001778126,1.5,0,1.5,4,0.718954265,-1.001778126,2.056177616,-0.618269205,-2.865041494,0.861485362,1.375,4,5.5
R_1DIPPApodT4wLTG,1/12/2021 21:27:36,1/12/2021 21:30:31,1,175,2,1,9.108,2,1,12.645,1,2,8.336,3,1,10.167,3,3,3,1,20.805,1,8.793,1,12.232,1,7.756,You can determine a person's character by their facial apperance.,1,none,none,1,2, ,70,3.666666746,3,4,4,1, , , , , , , , , ,7,6,4,1, ,1, ,1, ,1,matched (3),matched (3),3,4,0.281045735,1.625,-1.143382311,-0.321342736,1,0,1,3,-0.281045735,0.321342736,1.056177735,-1.618269205,-1.207614899,1.850300431,1.625,3,4.875
R_3hsHpXpvzxZ4J69,1/12/2021 18:35:33,1/12/2021 18:39:01,1,207,2,2,15.809,3,2,9.616,2,3,13.07,1,2,12.424,3,3,2,1,18.117,1,15.828,1,23.367,1,9.675,should facial profiling be used in different situations,1,none,none,1,2, ,48,4.333333492,5,4,4,1, , , , , , , , , ,7,6,2,1, ,1, ,1, ,1,matched (3),matched (3),2.666666746,4.333333015,0.61437875,2.125,-0.64338237,-0.395280451,1,0,1,2.666666746,-0.614378989,0.3952806,0.722844481,-1.951602459,-0.46506539,1.255626559,2.125,2.666666746,5.666666985
R_3Ho7eVNH3bquwih,1/12/2021 21:26:55,1/12/2021 21:31:23,1,267,5,4,13.479,5,4,9.673,2,4,12.554,4,4,10.997,2,2,2,1,45.727,1,20.622,1,35.969,1,17.791,I do not feel that you can tell a persons personality by a picture.,1,none,none,1,1, ,55,5,5,5,5,1, , , , , , , , , ,6,3,1,1, ,1, ,1, ,1,matched (3),matched (3),2,5,1.281045794,4,1.231617689,1.57775867,1,0,1,2,-1.281045794,-1.57775867,0.056177665,-2.618269205,0.069189407,-3.22470665,4,2,8
R_UtoBeXZM4iiH27L,1/12/2021 17:19:42,1/12/2021 17:21:20,1,98,4,4,4.562,4,4,4.033,1,3,9.419,3,3,3.821,5,5,5,3,11.081,3,5.176,3,5.125,3,5.874,if i supported facial reognization software,1,none,none,1,1, , ,4.666666508,5,4,5,1, , , , , , , , , ,4,4,3,1, ,1, ,1, ,1,matched (3),matched (3),5,2,-1.718954206,3.25,0.481617659,-0.827878714,3,0,3,5,1.718954206,0.827878714,3.056177616,0.381730735,1.471909165,0.183848262,3.25,5,16.25
R_3KPmajjY5goLy6N,1/12/2021 21:51:52,1/12/2021 21:54:12,1,139,1,1,5.09,1,1,4.2,1,1,4.186,1,1,3.968,1,1,1,1,18.167,1,8.773,1,9.549,1,8.086,I responded to whether I think using facial technology in certain situations would be good or not.,1,none,none,1,2, ,36,2.666666746,2,2,4,1, , , , , , , , , ,3,5,3,1, ,1, ,1, ,1,matched (3),matched (3),1,6,2.281045675,1,-1.768382311,-4.033761024,1,0,1,1,-2.281045675,4.033761024,-0.943822205,-3.618269205,1.669038534,6.398483276,1,1,1
R_vcN6teun3mi9Ylj,1/12/2021 21:04:17,1/12/2021 21:07:44,1,206,3,3,7.384,3,2,7.88,3,3,6.781,3,3,4.763,3,3,3,1,24.262,1,12.402,1,12.321,1,11.855,Facial profiling software supposedly can help institutions filter the applicants/students/workers they are seeking and help police identify criminals before they commit a crime. I disagree with using such a technology as I don't believe it can accurately determine such characteristics based on appearance alone.,1,none,none,1,1, ,33,5,5,5,5,1, , , , , , , , , ,5,5,3,1, ,1, ,1, ,1,matched (3),matched (3),3,4,0.281045735,2.875,0.106617644,0.029964434,1,0,1,3,-0.281045735,-0.029964434,1.056177735,-1.618269205,0.112607181,-0.172536045,2.875,3,8.625
